pnl_pct,entry_date,exit_date,symbol,reason,regime
-0.0260,2021-07-29,2021-07-30,000876,stop_loss,BEAR
-0.0154,2021-08-10,2021-08-16,000876,stop_loss,BEAR
0.0352,2021-09-06,2021-09-14,000876,time_stop,BEAR
0.0844,2021-09-17,2021-09-27,000876,time_stop,BULL
-0.0082,2021-10-20,2021-10-26,000876,stop_loss,BULL
-0.0121,2021-12-23,2021-12-29,000876,stop_loss,BULL
0.0153,2019-06-21,2019-07-01,000895,time_stop,BEAR
0.0032,2019-08-08,2019-08-26,000895,time_stop,BEAR
-0.0151,2019-08-27,2019-09-04,000895,stop_loss,BEAR
-0.0405,2019-12-23,2019-12-24,000895,stop_loss,BULL
